"Rank","Tier","Player","Team","Position"
"1","I","Nikola Jokic","DEN","C"
"2","","Shai Gilgeous-Alexander","OKC","PG"
"3","II","Victor Wembanyama","SA","C"
"4","","Anthony Edwards","MIN","SG, SF"
"5","","Luka Doncic","LAL","PG, SG"
"6","III","Trae Young","ATL","PG"
"7","","Devin Booker","PHO","PG, SG, SF"
"8","","Kevin Durant","HOU","PF"
"9","","Stephen Curry","GS","PG"
"10","","Jalen Williams","OKC","SG, SF, PF"
"11","","Giannis Antetokounmpo","MIL","PF, C"
"12","","Donovan Mitchell","CLE","PG, SG"
"13","","Jalen Brunson","NY","PG"
"14","IV","Domantas Sabonis","SAC","C"
"15","","Karl-Anthony Towns","NY","C"
"16","","James Harden","LAC","PG, SG"
"17","","Jaylen Brown","BOS","SG, SF"
"18","","Derrick White","BOS","PG, SG"
"19","","Mikal Bridges","NY","SG, SF, PF"
"20","","Paolo Banchero","ORL","PF"
"21","","Franz Wagner","ORL","SF, PF"
"22","","Cade Cunningham","DET","PG, SG"
"23","","Lauri Markkanen","UTA","SF, PF"
"24","V","DeMar DeRozan","SAC","SF"
"25","","Tyrese Maxey","PHI","PG, SG"
"26","","Jaren Jackson","MEM","PF, C"
"27","","De'Aaron Fox","SA","PG"
"28","","Ja Morant","MEM","PG"
"29","","Jamal Murray","DEN","PG, SG"
"30","","Bam Adebayo","MIA","PF, C"
"31","","Anthony Davis","DAL","PF, C"
"32","VI","Austin Reaves","LAL","PG, SG, SF"
"33","","Jalen Green","PHO","PG, SG"
"34","","Alperen Sengun","HOU","C"
"35","","Scottie Barnes","TOR","SF, PF"
"36","","Cooper Flagg","DAL","PG, SG, SF"
"37","","LaMelo Ball","CHA","PG"
"38","","Desmond Bane","ORL","SG, SF"
"39","","Ivica Zubac","LAC","C"
"40","","Jordan Poole","NO","PG, SG"
"41","","Deni Avdija","POR","SG, SF, PF"
"42","","LeBron James","LAL","SF, PF"
"43","","Josh Giddey","CHI","PG, SG"
"44","VII","Amen Thompson","HOU","SG, SF, PF"
"45","","Dyson Daniels","ATL","SG, SF"
"46","","Josh Hart","NY","SG, SF"
"47","","Tyler Herro","MIA","PG, SG"
"48","","Walker Kessler","UTA","C"
"49","","Nikola Vucevic","CHI","C"
"50","","Evan Mobley","CLE","PF, C"
"51","","Jarrett Allen","CLE","C"
"52","","Darius Garland","CLE","PG"
"53","","Myles Turner","MIL","C"
"54","","Jimmy Butler","GS","SF, PF"
"55","","Trey Murphy","NO","SF, PF"
"56","","Michael Porter","BKN","SF, PF"
"57","VIII","Naz Reid","MIN","PF, C"
"58","","Keegan Murray","SAC","PF"
"59","","Malik Monk","SAC","PG, SG"
"60","","Pascal Siakam","IND","SF, PF"
"61","","Coby White","CHI","PG, SG"
"62","","Miles Bridges","CHA","SF, PF"
"63","","Christian Braun","DEN","SG, SF"
"64","","Kawhi Leonard","LAC","SF, PF"
"65","","Rudy Gobert","MIN","C"
"66","","Zach LaVine","SAC","SG, SF"
"67","","Chet Holmgren","OKC","PF, C"
"68","","Kristaps Porzingis","ATL","C"
"69","","Jalen Duren","DET","C"
"70","","Onyeka Okongwu","ATL","C"
"71","","Tobias Harris","DET","PF"
"72","","OG Anunoby","NY","PF"
"73","IX","Jakob Poeltl","TOR","C"
"74","","Jaden McDaniels","MIN","SF, PF"
"75","","Cason Wallace","OKC","SG, SF"
"76","","Daniel Gafford","DAL","C"
"77","","Toumani Camara","POR","PF"
"78","X","Zion Williamson","NO","SF, PF"
"79","","John Collins","LAC","SF, PF"
"80","","Ace Bailey","UTA","PG, SG, SF"
"81","","Paul George","PHI","PF"
"82","","Deandre Ayton","LAL","C"
"83","","Herbert Jones","NO","SF, PF"
"84","","Julius Randle","MIN","PF"
"85","","Tyus Jones","ORL","PG"
"86","","Payton Pritchard","BOS","PG"
"87","","Devin Vassell","SA","SG, SF"
"88","","CJ McCollum","WAS","PG, SG"
"89","","Jalen Johnson","ATL","SF"
"90","","PJ Washington","DAL","PF"
"91","","Anfernee Simons","BOS","PG, SG"
"92","","Nic Claxton","BKN","C"
"93","","Kentavious Caldwell-Pope","MEM","SG, SF"
"94","XI","Keyonte George","UTA","PG"
"95","","Bobby Portis","MIL","PF, C"
"96","","Cameron Johnson","DEN","SF, PF"
"97","","Jabari Smith","HOU","PF"
"98","","Joel Embiid","PHI","C"
"99","","Bub Carrington","WAS","PG"
"100","","Jonas Valanciunas","DEN","C"
"101","","Zach Edey","MEM","C"
"102","","Brook Lopez","LAC","C"
"103","","Immanuel Quickley","TOR","PG"
"104","XII","Bennedict Mathurin","IND","SG, SF"
"105","","Draymond Green","GS","PF, C"
"106","","Norman Powell","MIA","SG, SF"
"107","","Kelly Oubre","PHI","SF, PF"
"108","","D'Angelo Russell","DAL","PG"
"109","","Buddy Hield","GS","PG, SG, SF"
"110","","Kel'el Ware","MIA","C"
"111","","Donte DiVincenzo","MIN","PG, SG"
"112","","Andrew Nembhard","IND","PG, SG"
"113","","Stephon Castle","SA","PG, SG"
"114","","Brandon Miller","CHA","SF, PF"
"115","","Mike Conley","MIN","PG"
"116","","Brandon Ingram","TOR","SF, PF"
"117","XIII","Brandin Podziemski","GS","SG, SF"
"118","","Cam Thomas","BKN","SG, SF"
"119","","Guerschon Yabusele","NY","PF, C"
"120","","Naji Marshall","DAL","SF, PF"
"121","","Tari Eason","HOU","SF, PF"
"122","","Bradley Beal","LAC","SG"
"123","","Jalen Suggs","ORL","PG"
"124","","Harrison Barnes","SA","SF, PF"
"125","","Yves Missi","NO","C"
"126","","Luguentz Dort","OKC","SF, PF"
"127","","Alex Sarr","WAS","PF, C"
"128","","Collin Sexton","CHA","PG, SG"
"129","","Dennis Schroder","SAC","PG"
"130","XIV","Bilal Coulibaly","WAS","SF, PF"
"131","","Shaedon Sharpe","POR","SG, SF"
"132","","Obi Toppin","IND","PF"
"133","","Donovan Clingan","POR","C"
"134","","Matas Buzelis","CHI","SF, PF"
"135","","Aaron Wiggins","OKC","SG, SF"
"136","","Grayson Allen","PHO","PG, SG"
"137","","Zaccharie Risacher","ATL","SF"
"138","","Aaron Gordon","DEN","PF"
"139","","Gary Trent","MIL","SG, SF"
"140","","Kyshawn George","WAS","SG, SF"
"141","","Rui Hachimura","LAL","PF"
"142","","Klay Thompson","DAL","SG, SF"
"143","","Kyle Kuzma","MIL","SF, PF"
"144","","Kyle Filipowski","UTA","PF, C"
"145","","Andrew Wiggins","MIA","SG, SF"
"146","XV","Aaron Nesmith","IND","SF, PF"
"147","","Jaylen Wells","MEM","SG, SF"
"148","","Nickeil Alexander-Walker","ATL","PG, SG"
"149","","Scoot Henderson","POR","PG"
"150","","Keldon Johnson","SA","SG, SF"
"151","","Keon Ellis","SAC","PG, SG"
"152","","Jerami Grant","POR","SF, PF"
"153","","Ausar Thompson","DET","SF, PF"
"154","","Jaden Ivey","DET","SG"
"155","","Wendell Carter","ORL","C"
"156","","Isaiah Collier","UTA","PG, SG"
"157","","De'Andre Hunter","CLE","SF, PF"
"158","","Santi Aldama","MEM","PF, C"
"159","XVI","Jrue Holiday","POR","PG, SG"
"160","","Jonathan Kuminga","GS","PF, C"
"161","","Quentin Grimes","PHI","SG, SF"
"162","","RJ Barrett","TOR","SG, SF, PF"
"163","","Jeremy Sochan","SA","PF, C"
"164","","Dillon Brooks","PHO","SG, SF"
"165","","Jaime Jaquez","MIA","SG, SF"
"166","","Mark Williams","PHO","C"
"167","","Goga Bitadze","ORL","C"
"168","","Kevin Porter","MIL","PG, SG"
"169","","Gradey Dick","TOR","SG, SF"
"170","","Dereck Lively","DAL","C"
"171","","Alex Caruso","OKC","PG, SG, SF"
"172","","Sam Hauser","BOS","SF, PF"
"173","","Dalton Knecht","LAL","SG, SF"
"174","","Ziaire Williams","BKN","SF"
"175","","Brice Sensabaugh","UTA","SF, PF"
"176","","Ryan Dunn","PHO","SF, PF"
"177","","Jordan Hawkins","NO","SG"
