Player,team,gp,pts,ast,reb,fg3m,fga,fta,stl,blk,tov,fg_pct,ft_pct
A.J. Lawson,TOR,26,9.1,1.2,3.3,1.3,7.3,2.4,0.5,0.2,0.6,0.421,0.683
AJ Green,MIL,73,7.4,1.5,2.4,2.1,5.8,0.4,0.5,0.1,0.5,0.429,0.815
AJ Johnson,WAS,29,7.6,2.6,2.0,0.8,7.3,1.3,0.4,0.1,1.2,0.385,0.865
Aaron Gordon,DEN,51,14.7,3.2,4.8,1.5,9.7,3.5,0.5,0.3,1.4,0.531,0.81
Aaron Holiday,HOU,62,5.5,1.3,1.3,1.2,4.3,0.7,0.3,0.2,0.6,0.437,0.829
Aaron Nesmith,IND,45,12.0,1.2,4.0,1.9,8.4,1.8,0.8,0.4,0.8,0.507,0.913
Aaron Wiggins,OKC,76,12.0,1.8,3.9,1.7,9.6,1.2,0.8,0.2,0.9,0.488,0.831
Ace Bailey,rookie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adam Flagler,OKC,37,1.8,0.3,0.7,0.4,2.6,0.1,0.2,0.1,0.1,0.26,0.5
Adama Sanogo,CHI,4,2.0,0.3,1.5,0.0,1.8,0.0,0.0,0.0,0.3,0.571,0.0
Adem Bona,PHI,58,5.8,0.5,4.2,0.0,3.3,1.7,0.4,1.2,1.1,0.703,0.67
Ajay Mitchell,OKC,36,6.5,1.8,1.9,0.6,5.1,1.0,0.7,0.1,0.8,0.495,0.829
Al Horford,BOS,60,9.0,2.1,6.2,1.9,7.7,0.6,0.6,0.9,0.8,0.423,0.895
Alec Burks,MIA,49,7.3,1.1,2.5,1.8,5.5,1.0,0.6,0.1,0.6,0.424,0.776
Alex Caruso,OKC,54,7.1,2.5,2.9,1.1,5.8,0.9,1.6,0.6,0.7,0.446,0.824
Alex Ducas,OKC,21,1.7,0.2,1.2,0.5,1.4,0.1,0.2,0.0,0.2,0.4,1.0
Alex Len,LAL,46,1.6,0.8,2.1,0.0,1.4,0.4,0.2,0.5,0.4,0.508,0.471
Alex Reese,PHI,15,5.1,0.3,3.1,1.0,3.6,0.8,0.7,0.7,0.4,0.481,0.75
Alex Sarr,WAS,67,13.0,2.4,6.5,1.6,12.4,2.5,0.7,1.5,1.7,0.394,0.679
Alondes Williams,LAC,1,5.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Alperen Sengun,HOU,76,19.1,4.9,10.3,0.3,15.0,5.6,1.1,0.8,2.6,0.496,0.692
Amen Thompson,HOU,69,14.1,3.8,8.2,0.4,10.1,3.6,1.4,1.3,2.0,0.557,0.684
Amir Coffey,LAC,72,9.7,1.1,2.2,1.4,7.1,1.8,0.6,0.1,0.6,0.471,0.891
Andre Drummond,PHI,40,7.3,0.9,7.8,0.1,5.9,2.3,1.0,0.5,1.4,0.5,0.622
Andre Jackson Jr.,MIL,67,3.4,1.2,2.7,0.4,2.9,0.4,0.5,0.2,0.9,0.477,0.5
Andrew Nembhard,IND,65,10.0,5.0,3.3,0.8,8.3,2.1,1.2,0.2,1.7,0.458,0.794
Andrew Wiggins,MIA,60,18.0,2.6,4.5,2.2,14.0,4.3,1.0,0.8,1.7,0.448,0.763
Anfernee Simons,POR,70,19.3,4.8,2.7,3.1,16.1,2.8,0.9,0.1,2.0,0.426,0.902
Anthony Black,ORL,78,9.4,3.1,2.9,0.8,7.9,2.5,1.1,0.6,1.8,0.423,0.761
Anthony Davis,DAL,51,24.7,3.5,11.6,0.7,17.8,7.2,1.2,2.2,2.2,0.516,0.775
Anthony Edwards,MIN,79,27.6,4.5,5.7,4.1,20.4,6.3,1.2,0.6,3.2,0.447,0.837
Anthony Gill,WAS,51,2.5,0.3,1.3,0.2,1.7,1.0,0.2,0.0,0.2,0.489,0.66
Anton Watson,NYK,9,0.9,0.2,0.3,0.0,1.0,0.0,0.1,0.0,0.2,0.444,0.0
Antonio Reeves,NOP,44,6.9,0.9,1.4,1.2,5.6,0.8,0.5,0.1,0.7,0.456,0.8
Ariel Hukporti,NYK,25,1.9,0.4,2.0,0.0,1.2,0.5,0.0,0.6,0.8,0.677,0.462
Armel Traore,LAL,9,1.6,0.1,1.7,0.0,2.1,0.8,0.4,0.2,0.3,0.316,0.286
Ausar Thompson,DET,59,10.1,2.3,5.1,0.2,7.8,2.4,1.7,0.7,1.4,0.535,0.641
Austin Reaves,LAL,73,20.2,5.8,4.5,2.7,14.2,5.0,1.1,0.3,2.4,0.46,0.877
Ayo Dosunmu,CHI,46,12.3,4.5,3.5,1.3,9.8,1.7,0.9,0.4,1.5,0.492,0.785
Bam Adebayo,MIA,78,18.1,4.3,9.6,1.0,14.3,4.2,1.3,0.7,2.1,0.485,0.765
Baylor Scheierman,BOS,31,3.6,1.1,2.1,0.8,3.5,0.4,0.5,0.1,0.4,0.355,0.75
Ben Sheppard,IND,63,5.3,1.3,2.8,1.1,4.6,0.4,0.6,0.2,0.3,0.418,0.889
Ben Simmons,LAC,51,5.0,5.6,4.7,0.0,4.4,0.6,0.7,0.5,2.0,0.52,0.727
Bennedict Mathurin,IND,72,16.1,1.9,5.3,1.4,11.8,4.6,0.7,0.3,1.9,0.458,0.831
Bilal Coulibaly,WAS,59,12.3,3.4,5.0,1.1,10.6,3.1,1.3,0.7,2.1,0.421,0.746
Bismack Biyombo,SAS,28,5.1,1.1,5.6,0.0,4.1,0.9,0.6,0.8,1.0,0.588,0.4
Blake Wesley,SAS,58,3.7,2.0,1.1,0.3,3.2,1.1,0.6,0.1,0.9,0.435,0.623
Bobby Portis,MIL,49,13.9,2.1,8.4,1.3,12.1,1.5,0.7,0.5,1.2,0.466,0.836
Bobi Klintman,DET,8,1.9,0.9,0.9,0.3,1.3,0.3,0.3,0.1,0.1,0.6,0.5
Bogdan Bogdanović,LAC,54,10.8,2.7,2.9,1.9,9.1,1.2,0.8,0.2,1.4,0.427,0.879
